year,month,logcpi,logip,ff,gs1,gs2,ebp,mortg_spread_m,cp3m_spread_m
1979,7,429.0459,394.3341,10.47,9.64,9.14,-.223953,2.14,.5150003
1979,8,430.0003,393.6755,10.94,9.98,9.46,-.317488,2.06,.7849998
1979,9,430.9456,393.8156,11.43,10.84,10.06,-.089456,1.97,1.255
1979,10,432.0151,394.3526,13.77,12.44,11.49,-.912158,1.34,1.415
1979,11,433.0733,394.2521,13.18,12.39,11.81,-.166222,2.18,1.665
1979,12,434.2506,394.3225,13.78,11.98,11.39,.127869,2.509999,1.085
1980,1,435.6709,394.7512,13.82,12.06,11.5,-.102562,2.08,.9250001
1980,2,436.9448,394.8297,14.13,13.92,13.42,-.584882,.6300001,.8050002
1980,3,438.3276,394.5222,17.19,15.82,14.88,.256076,2.53,1.495
1980,4,439.3214,392.4821,17.61,13.3,12.5,-.731175,4.86,2.465
1980,5,440.3054,389.9928,10.98,9.39,9.45,.024596,4.08,.795
1980,6,441.2798,388.7642,9.47,8.16,8.73,-.089556,2.93,1.085001
1980,7,441.401,388.1019,9.03,8.65,9.03,.09304,1.94,.2349996
1980,8,442.1247,388.3893,9.61,10.24,10.53,-.041169,1.46,.3249997
1980,9,442.9626,389.9868,10.87,11.52,11.57,-.073297,1.69,.585
1980,10,443.9116,391.2341,12.81,12.49,12.09,-.297335,2.04,.7850007
1980,11,444.9685,392.9452,15.85,14.15,13.51,.26447,1.53,1.335001
1980,12,445.8988,393.5349,18.9,14.88,14.08,-.103086,1.95,2.465
1981,1,446.8204,392.9798,19.08,14.08,13.26,.324857,2.33,1.445
1981,2,447.7337,392.5141,15.93,14.57,13.92,.103979,1.940001,.585
1981,3,448.4132,393.0321,14.7,13.71,13.57,-.035855,2.28,.4650001
1981,4,448.9759,392.6028,15.72,14.32,14.15,.501343,1.9,.755001
1981,5,449.6471,393.2151,18.52,16.2,15.46,.263799,2.299999,1.145
1981,6,450.535,393.6755,19.1,14.86,14.51,.424592,3.23,1.475
1981,7,451.6339,394.302,19.04,15.72,15.35,.412094,2.55,1.935
1981,8,452.396,394.295,17.82,16.72,16.28,.239638,2.350001,1.605
1981,9,453.3674,393.6595,15.87,16.52,16.46,.396551,2.84,1.275001
1981,10,453.6891,392.9584,15.08,15.38,15.54,.57229,3.300001,1.195001
1981,11,454.1165,391.8488,13.31,12.41,12.88,.160274,4.44,1.185
1981,12,454.4358,390.7376,12.37,12.85,13.29,.545328,3.2,1.155
1982,1,454.7541,388.7501,13.22,14.32,14.57,.756894,2.809999,.6950006
1982,2,455.0714,390.6884,14.78,14.73,14.82,.453381,3.17,.9350004
1982,3,455.0714,389.9463,14.68,13.95,14.19,.908091,3.3,1.005
1982,4,455.3877,389.0759,14.94,13.98,14.2,.69748,3.02,1.245001
1982,5,456.3306,388.457,14.45,13.34,13.78,.712093,3.06,1.215
1982,6,457.4711,388.1209,14.15,14.07,14.47,.642981,2.400001,1.375
1982,7,457.9852,387.8044,12.59,13.24,13.8,.613466,2.87,1.474999
1982,8,458.1902,386.9698,10.12,11.43,12.32,-.113349,3.21,1.355
1982,9,458.1902,386.6297,10.31,10.85,11.78,.476664,3.09,2.325
1982,10,458.5987,385.766,9.71,9.32,10.19,.125427,3.7,1.375
1982,11,458.4967,385.3745,9.2,9.16,9.8,.499413,3.28,.5050001
